%  ' depth(m)'	   'Vp'		'Vs'	   'rho'	'GR'	    'nphi' 
   2074.9749      2.5484      1.1971      2.2957     67.5454       .3966
   2075.1272      2.4935      1.1697      2.2903     68.8062       .3732
   2075.2795      2.4636      1.1499      2.2719     72.1887       .4027
   2075.4319      2.4611      1.1499      2.2492     77.7616       .4171
   2075.5845      2.4561      1.1080      2.2339     83.9548       .4156
   2075.7368      2.4473      1.0714      2.2286     89.5064       .4059
   2075.8892      2.4325      1.1011      2.2293     92.1093       .4056
   2076.0415      2.4267      1.0619      2.2351     94.5183       .4095
   2076.1941      2.4369      1.0619      2.2472     97.5154       .3808
   2076.3464      2.4429      1.1041      2.2506    102.2606       .3861
   2076.4988      2.4466      1.1313      2.2488    103.9925       .3916
   2076.6511      2.4491      1.1244      2.2426    106.6709       .4105
   2076.8037      2.4403      1.0904      2.2477    105.0728       .3930
   2076.9561      2.4089      1.0904      2.2492    106.6946       .3896
   2077.1084      2.3892      1.0588      2.2520    108.7637       .4056
   2077.2607      2.3779      1.0496      2.2469    112.7766       .4194
   2077.4131      2.3669      1.0278      2.2407    117.7694       .4291
   2077.5657      2.3604      1.0010      2.2400    116.6423       .4183
   2077.7180      2.3645      1.0010      2.2412    109.5722       .4082
   2077.8704      2.3513       .9910      2.2537    100.5783       .4183
   2078.0227      2.3718      1.0085      2.2488     93.0723       .4134
   2078.1753      2.3451       .9570      2.2402     96.5476       .4280
   2078.3276      2.2836       .9144      2.2260     99.9090       .4129
   2078.4800      2.2928       .9144      2.2287    106.7446       .4309
   2078.6323      2.2979       .9494      2.2316    106.3187       .4332
   2078.7849      2.3035       .9123      2.2342    102.5297       .4240
   2078.9373      2.3012       .9026      2.2313     96.5598       .4307
   2079.0896      2.2868       .9021      2.2209     90.5156       .4414
   2079.2419      2.2958       .9197      2.2202     88.5052       .4534
   2079.3943      2.3183       .9197      2.2364     92.0539       .4456
   2079.5469      2.3047       .9312      2.2438    101.4272       .4417
   2079.6992      2.3083       .9810      2.2498    108.4867       .4591
   2079.8516      2.3304       .9481      2.2600    115.9785       .4352
   2080.0039      2.3415       .9554      2.2664    115.2129       .4381
   2080.1565      2.3480       .9554      2.2636    118.3072       .4288
   2080.3088      2.3682       .9906      2.2583    114.6622       .4432
   2080.4612      2.3723       .9885      2.2514    117.7596       .4204
   2080.6135      2.3800       .9908      2.2525    114.6754       .4204
   2080.7661      2.3804       .9905      2.2496    113.0704       .4318
   2080.9185      2.3780       .9921      2.2624    108.7363       .4102
   2081.0708      2.3777       .9921      2.2624    105.1607       .4024
   2081.2231      2.3699       .9861      2.2668    105.7925       .3962
   2081.3755      2.3758       .9835      2.2632    105.9775       .4355
   2081.5281      2.3888       .9543      2.2663    105.4589       .4231
   2081.6804      2.3672       .9427      2.2681    101.7139       .4279
   2081.8328      2.3292       .9427      2.2780     94.5741       .4099
   2081.9851      2.3126       .9165      2.2780     93.9277       .4191
   2082.1377      2.2865       .9079      2.2760     95.7198       .4029
