DEPTH,VP,RHO,GR,VSH,RHOm,RHOf,PHIE,IP
1376.375,2676.17,2.0509,33.9285,0.312385328658,2.69998165259,1.09,0.403160900339,5488.557053
1376.5,2344.16,2.0525,32.9169,0.297234108518,2.69755745736,1.09,0.40126556871,4811.3884
1376.625,2205.07,2.0541,32.3017,0.288019961987,2.69608319392,1.09,0.399719763179,4529.434287
1376.75,2045.55,2.0367,33.0494,0.299218624798,2.69787497997,1.09,0.411210441238,4166.171685
1376.875,1898.31,1.9823,32.656,0.293326483632,2.69693223738,1.09,0.444718340175,3763.019913
1377.0,1887.7,1.8795,31.1843,0.271284124319,2.69340545989,1.09,0.507610507916,3547.93215
1377.125,1977.84,1.7297,28.9299,0.237518890348,2.68800302246,1.09,0.599687866036,3421.069848
1377.25,2032.54,1.624,26.6551,0.203448115758,2.68255169852,1.09,0.664689064414,3300.84496
1377.375,2097.06,1.563,28.2058,0.226673696098,2.68626779138,1.09,0.703683803836,3277.70478
1377.5,2317.21,1.5279,29.5668,0.247058048224,2.68952928772,1.09,0.726231958763,3540.465159
1377.625,2441.38,1.5209,31.1,0.270021522641,2.69320344362,1.09,0.731225627219,3713.094842
1377.75,2413.6,1.5539,31.5437,0.276667031119,2.69426672498,1.09,0.710833620883,3750.49304
1377.875,2318.7,1.5883,30.5115,0.261207274862,2.69179316398,1.09,0.68891114583,3682.79121
1378.0,2291.89,1.6492,29.8322,0.251033071777,2.69016529148,1.09,0.650536102129,3779.784988
1378.125,2265.69,1.6901,31.828,0.280925129068,2.69494802065,1.09,0.626093809719,3829.242669
1378.25,2201.53,1.7137,31.1891,0.27135601623,2.6934169626,1.09,0.611018210142,3772.761961
1378.375,2156.28,1.7252,30.8259,0.265916195001,2.6925465912,1.09,0.603630868838,3720.014256
1378.5,2185.28,1.7139,30.3777,0.259203287857,2.69147252606,1.09,0.610421040731,3745.351392
1378.625,2314.23,1.6629,28.7158,0.23431221159,2.68748995385,1.09,0.641374896526,3848.333067
1378.75,2339.73,1.6396,31.625,0.277884700353,2.69446155206,1.09,0.657455175978,3836.221308
1378.875,2274.77,1.6617,31.9104,0.282159273532,2.69514548377,1.09,0.643832907495,3779.985309
1379.0,2237.72,1.7022,31.7584,0.279882696366,2.69478123142,1.09,0.618514980102,3809.046984
