%' Depth (m) '	      ' Vp'	    'Density'	'Gamma Ray'    
    2076.65112        2.76839        2.35010       81.83980
    2076.80371        2.77849        2.35180       75.67340
    2076.95605        2.77849        2.35850       78.84830
    2077.10840        2.72386        2.37410       75.45560
    2077.26074        2.70453        2.39580       75.57690
    2077.41309        2.76087        2.38560       78.59190
    2077.56567        2.77849        2.37330       77.93540
    2077.71802        2.81181        2.36070       78.77910
    2077.87036        2.84860        2.35330       72.78610
    2078.02271        2.76087        2.35200       76.48930
    2078.17529        2.71658        2.35490       74.79010
    2078.32764        2.69973        2.34940       75.69880
    2078.47998        2.67838        2.33170       79.03200
    2078.63232        2.78102        2.31720       76.90350
    2078.78491        2.79633        2.32140       74.05730
    2078.93726        2.76588        2.40380       72.48980
    2079.08960        2.75588        2.49470       74.71850
    2079.24194        2.74347        2.53080       74.37890
    2079.39429        2.77343        2.44840       75.57690
    2079.54688        2.70693        2.35980       72.45300
    2079.69922        2.68783        2.32090       73.62260
    2079.85156        2.62081        2.31640       73.50950
    2080.00391        2.65737        2.30310       75.80710
    2080.15649        2.68546        2.30290       73.99840
    2080.30884        2.69735        2.30390       74.85060
    2080.46118        2.76839        2.32570       65.92040
    2080.61353        2.72874        2.34520       66.23650
    2080.76611        2.85393        2.35240       62.79650
    2080.91846        3.07258        2.34620       61.52000
    2081.07080        3.13903        2.32620       58.78760
    2081.22314        3.15202        2.31030       60.35470
    2081.37549        3.10071        2.29770       66.55380
    2081.52808        2.82222        2.29880       66.94870
    2081.68042        2.85393        2.30060       68.68810
    2081.83276        2.93642        2.30200       69.47020
    2081.98511        2.91117        2.30520       69.36470
    2082.13770        2.87819        2.29450       67.99550
    2082.29004        2.80405        2.27930       61.19840
    2082.44238        2.81440        2.27720       58.94840
    2082.59473        2.81181        2.28620       67.32380
    2082.74731        2.83271        2.28590       65.62970
    2082.89966        2.75837        2.27650       68.99830
    2083.05200        2.81961        2.26710       67.21010
    2083.20435        2.85393        2.25750       70.41380
    2083.35669        2.82484        2.24750       73.36590
    2083.50928        2.83535        2.24460       72.73600
    2083.66162        2.75588        2.23510       73.66350
    2083.81396        2.76337        2.21580       70.24230
    2083.96631        2.77343        2.19060       74.95000
    2084.11890        2.78102        2.15300       75.02120
    2084.27124        2.77343        2.11190       75.37990
    2084.42358        2.76337        2.11050       74.21050
    2084.57593        2.73609        2.14920       80.15990
    2084.72852        2.74595        2.20070       80.97110
    2084.88086        2.78102        2.22650       82.55590
    2085.03320        2.81701        2.24110       83.82670
    2085.18555        2.89184        2.26700       83.79410
    2085.33789        2.90562        2.27770       83.56520
    2085.49048        2.83799        2.28050       79.22230
    2085.64282        2.86197        2.25570       89.89360
    2085.79517        2.77849        2.23940       97.37480
    2085.94751        2.75837        2.21420       96.00100
    2086.10010        2.77596        2.12700       95.07090
    2086.25244        2.78102        2.04800       84.39290
    2086.40479        2.76087        2.05180       81.02300
    2086.55713        2.73363        2.15530       87.00560
    2086.70972        2.70693        2.22730       90.35680
    2086.86206        2.75090        2.19460       84.43970
    2087.01440        3.21519        2.17570       80.57910
    2087.16675        3.39421        2.18830       67.52930
    2087.31909        3.58167        2.21120       74.37310
    2087.47168        3.45578        2.17390       77.23390
    2087.62402        3.00296        2.15530       75.64410
    2087.77637        2.74595        2.14360       72.72460
    2087.92871        2.67603        2.17980       75.08500
    2088.08130        2.66900        2.17300       81.28260
    2088.23364        2.67368        2.15020       82.23610
    2088.38599        2.67603        2.15860       83.67350
    2088.53833        2.67838        2.19430       81.58120
    2088.69092        2.77596        2.24340       77.61850
    2088.84326        2.79890        2.25990       77.12820
    2088.99561        2.88091        2.25390       78.23700
    2089.14795        2.83271        2.19090       84.76310
