%  'Depth (m)'	   ' t_p'  		' t_s'		'GR'		'rho' 
   2.1336001e+03   1.2465700e+02   3.3554300e+02   9.4940000e+01   2.2580000e+00
   2.1337524e+03   1.2536200e+02   3.4101900e+02   9.4322000e+01   2.2990000e+00
   2.1339048e+03   1.2678300e+02   3.4396500e+02   9.1404000e+01   2.3130000e+00
   2.1340571e+03   1.2802000e+02   3.4818000e+02   9.0654000e+01   2.3100000e+00
   2.1342097e+03   1.2858200e+02   3.4889000e+02   9.7045000e+01   2.3050000e+00
   2.1343621e+03   1.2859300e+02   3.4750000e+02   1.0333500e+02   2.3060000e+00
   2.1345144e+03   1.2819700e+02   3.4402400e+02   1.0263200e+02   2.3070000e+00
   2.1346667e+03   1.2745100e+02   3.3977300e+02   9.7097000e+01   2.3060000e+00
   2.1348193e+03   1.2620500e+02   3.3616600e+02   9.5344000e+01   2.3010000e+00
   2.1349717e+03   1.2524200e+02   3.3750500e+02   9.7482000e+01   2.2920000e+00
   2.1351240e+03   1.2481400e+02   3.4055000e+02   1.0085400e+02   2.2860000e+00
   2.1352764e+03   1.2479100e+02   3.4044100e+02   1.0492600e+02   2.2910000e+00
   2.1354287e+03   1.2475100e+02   3.3306300e+02   1.0383100e+02   2.2990000e+00
   2.1355813e+03   1.2490900e+02   3.2617100e+02   1.0107700e+02   2.2990000e+00
   2.1357336e+03   1.2513800e+02   3.2267100e+02   1.0164200e+02   2.2890000e+00
   2.1358860e+03   1.2559700e+02   3.2396600e+02   1.0356900e+02   2.2800000e+00
   2.1360383e+03   1.2546100e+02   3.2583700e+02   1.0132200e+02   2.2800000e+00
   2.1361909e+03   1.2515400e+02   3.2721600e+02   9.8073000e+01   2.2850000e+00
   2.1363433e+03   1.2491800e+02   3.2544300e+02   9.9129000e+01   2.2840000e+00
   2.1364956e+03   1.2490800e+02   3.2294000e+02   1.0196300e+02   2.2860000e+00
   2.1366479e+03   1.2501500e+02   3.2119600e+02   1.0475400e+02   2.2940000e+00
   2.1368005e+03   1.2500700e+02   3.2253100e+02   1.0663300e+02   2.2960000e+00
   2.1369529e+03   1.2481500e+02   3.2574700e+02   1.0583800e+02   2.2870000e+00
   2.1371052e+03   1.2453300e+02   3.2739100e+02   1.0028600e+02   2.2800000e+00
   2.1372576e+03   1.2434800e+02   3.2516700e+02   9.9088000e+01   2.2780000e+00
   2.1374099e+03   1.2430600e+02   3.2093300e+02   1.0426200e+02   2.2790000e+00
   2.1375625e+03   1.2435100e+02   3.1967700e+02   1.0680500e+02   2.2770000e+00
   2.1377148e+03   1.2436500e+02   3.2183200e+02   1.0665800e+02   2.2720000e+00
   2.1378672e+03   1.2432700e+02   3.2248700e+02   1.0641200e+02   2.2690000e+00
   2.1380195e+03   1.2428200e+02   3.2325500e+02   1.0793900e+02   2.2680000e+00
   2.1381721e+03   1.2428800e+02   3.2367700e+02   1.1332200e+02   2.2770000e+00
   2.1383245e+03   1.2436800e+02   3.2490900e+02   1.1580700e+02   2.2910000e+00
   2.1384768e+03   1.2443300e+02   3.2698300e+02   1.1221600e+02   2.2980000e+00
   2.1386292e+03   1.2442800e+02   3.2622300e+02   1.0701500e+02   2.2960000e+00
   2.1387817e+03   1.2447800e+02   3.2382800e+02   1.0310500e+02   2.2940000e+00
   2.1389341e+03   1.2454700e+02   3.2158600e+02   9.9718000e+01   2.2960000e+00
   2.1390864e+03   1.2466800e+02   3.2122200e+02   9.4851000e+01   2.2940000e+00
   2.1392388e+03   1.2462700e+02   3.2150700e+02   9.1461000e+01   2.2880000e+00
   2.1393911e+03   1.2453600e+02   3.2143300e+02   8.7628000e+01   2.2800000e+00
   2.1395437e+03   1.2439600e+02   3.1912900e+02   8.2413000e+01   2.2640000e+00
   2.1396960e+03   1.2423900e+02   3.1633300e+02   8.3734000e+01   2.2500000e+00
   2.1398484e+03   1.2405000e+02   3.1131600e+02   8.9665000e+01   2.2480000e+00
   2.1400007e+03   1.2384200e+02   3.0709600e+02   9.0375000e+01   2.2610000e+00
   2.1401533e+03   1.2370100e+02   3.0165100e+02   8.8316000e+01   2.2740000e+00
   2.1403057e+03   1.2364600e+02   3.0013800e+02   8.6517000e+01   2.2740000e+00
   2.1404580e+03   1.2332500e+02   2.9969800e+02   8.3192000e+01   2.2560000e+00
   2.1406104e+03   1.2281200e+02   3.0033300e+02   8.4168000e+01   2.2400000e+00
   2.1407629e+03   1.2210800e+02   2.9704000e+02   8.7805000e+01   2.2510000e+00
   2.1409153e+03   1.2230600e+02   2.9312100e+02   8.7539000e+01   2.2760000e+00
   2.1410676e+03   1.2285500e+02   2.8950300e+02   8.7115000e+01   2.2910000e+00
   2.1412200e+03   1.2328900e+02   2.8849400e+02   8.5462000e+01   2.2890000e+00
   2.1413723e+03   1.2327300e+02   2.9166200e+02   8.1170000e+01   2.2810000e+00
   2.1415249e+03   1.2262200e+02   2.9290600e+02   7.9268000e+01   2.2780000e+00
   2.1416772e+03   1.2129300e+02   2.8824100e+02   8.0972000e+01   2.2760000e+00
   2.1418296e+03   1.1885400e+02   2.8111700e+02   8.1307000e+01   2.2690000e+00
   2.1419819e+03   1.1676400e+02   2.7452400e+02   7.8975000e+01   2.2630000e+00
   2.1421345e+03   1.1567300e+02   2.6869600e+02   8.0005000e+01   2.2630000e+00
   2.1422869e+03   1.1545500e+02   2.6503100e+02   8.1454000e+01   2.2620000e+00
   2.1424392e+03   1.1571400e+02   2.6309100e+02   7.9753000e+01   2.2220000e+00
   2.1425916e+03   1.1599600e+02   2.6423300e+02   7.9950000e+01   2.1010000e+00
   2.1427441e+03   1.1666100e+02   2.6926900e+02   8.3617000e+01   1.9920000e+00
   2.1428965e+03   1.1754200e+02   2.7571900e+02   8.6011000e+01   2.0280000e+00
   2.1430488e+03   1.1952600e+02   2.8283200e+02   8.6347000e+01   2.1530000e+00
   2.1432012e+03   1.2115100e+02   2.8970400e+02   8.6011000e+01   2.2460000e+00
