DEPTH,DT,DTS,GR,RHO,VP,VS,VPVS,IP,IS,VSH,RHOm,RHOf,PHIE,SWE,VP_FRMB,VS_FRMB,RHO_FRMB,K_FRMB,K_DRY,VP_FRMO,VS_FRMO,RHO_FRMO,K_FRMO,VP_FRMG,VS_FRMG,RHO_FRMG,K_FRMG
2108.6064,132.09,362.734,114.996,2.256,2307.51760164,840.285167644,2.74611249905,5205.75970929,1895.6833382,0.872403601622,2.78958457626,1.09,0.313949999143,1.0,2307.51760164,840.285167644,2.256,,,2307.51760164,840.285167644,2.256,,2307.51760164,840.285167644,2.256,
2108.7588,131.84,359.803,108.132,2.253,2311.89320388,847.130235156,2.72908828883,5208.69538835,1908.58441981,0.778046601141,2.77448745618,1.09,0.30958227339,1.0,2311.89320388,847.130235156,2.253,,,2311.89320388,847.130235156,2.253,,2311.89320388,847.130235156,2.253,
2108.9111,131.179,354.383,101.554,2.26,2323.54264021,860.086403693,2.70152234733,5251.20636687,1943.79527235,0.687621142347,2.76001938278,1.09,0.299409328977,1.0,2323.54264021,860.086403693,2.26,,,2323.54264021,860.086403693,2.26,,2323.54264021,860.086403693,2.26,
2109.0637,130.187,353.115,100.375,2.271,2341.24759001,863.174886368,2.71236759431,5316.9732769,1960.27016694,0.671413842876,2.75742621486,1.09,0.291722782409,1.0,2341.24759001,863.174886368,2.271,,,2341.24759001,863.174886368,2.271,,2341.24759001,863.174886368,2.271,
2109.2161,129.832,353.068,100.374,2.276,2347.64926983,863.289791202,2.71942202231,5343.24973812,1964.84756478,0.671400096227,2.7574240154,1.09,0.288723210744,1.0,2347.64926983,863.289791202,2.276,,,2347.64926983,863.289791202,2.276,,2347.64926983,863.289791202,2.276,
2109.3684,130.507,355.654,99.827,2.273,2335.50690768,857.012714605,2.72517182986,5308.60720115,1947.9899003,0.663880679084,2.75622090865,1.09,0.29001010979,1.0,2335.50690768,857.012714605,2.273,,,2335.50690768,857.012714605,2.273,,2335.50690768,857.012714605,2.273,
2109.5208,131.343,359.701,100.931,2.271,2320.64137411,847.370454906,2.73863852661,5270.17656061,1924.37830309,0.679056979861,2.75864911678,1.09,0.292241857125,1.0,2320.64137411,847.370454906,2.271,,,2320.64137411,847.370454906,2.271,,2320.64137411,847.370454906,2.271,
2109.6733,131.871,363.35,97.709,2.284,2311.34972814,838.860602725,2.75534423793,5279.12277908,1915.95761662,0.634765275964,2.75156244415,1.09,0.281399261159,1.0,2311.34972814,838.860602725,2.284,,,2311.34972814,838.860602725,2.284,,2311.34972814,838.860602725,2.284,
2109.8257,132.11,365.794,89.052,2.306,2307.16826887,833.255876258,2.76885928393,5320.33002801,1921.48805065,0.51576053337,2.73252168534,1.09,0.259674918844,1.0,2307.16826887,833.255876258,2.306,,,2307.16826887,833.255876258,2.306,,2307.16826887,833.255876258,2.306,
2109.978,132.25,366.323,85.799,2.31,2304.72589792,832.052587471,2.76992816635,5323.9168242,1922.04147706,0.471042683346,2.72536682934,1.09,0.253990005107,1.0,2304.72589792,832.052587471,2.31,,,2304.72589792,832.052587471,2.31,,2304.72589792,832.052587471,2.31,
2110.1304,132.317,365.227,92.619,2.293,2303.55887754,834.549471972,2.76024244806,5282.06050621,1913.62193923,0.56479483126,2.740367173,1.09,0.271071298751,1.0,2303.55887754,834.549471972,2.293,,,2303.55887754,834.549471972,2.293,,2303.55887754,834.549471972,2.293,
