%Depth:M	   Sw_deep:fract	Sw_x:fract
2061.3560	1.0000	1.0000
2061.5085	1.0000	1.0000
2061.6609	1.0000	1.0000
2061.8132	1.0000	1.0000
2061.9656	1.0000	1.0000
2062.1179	1.0000	1.0000
2062.2705	1.0000	1.0000
2062.4229	1.0000	1.0000
2062.5752	1.0000	0.9930
2062.7275	1.0000	1.0000
2062.8801	1.0000	1.0000
2063.0325	1.0000	1.0000
2063.1848	1.0000	1.0000
2063.3372	1.0000	1.0000
2063.4897	1.0000	1.0000
2063.6421	1.0000	0.9540
2063.7944	1.0000	0.9460
2063.9468	1.0000	0.9250
2064.0991	1.0000	0.9190
2064.2517	1.0000	0.9630
2064.4041	1.0000	0.9250
2064.5564	1.0000	0.8980
2064.7087	1.0000	1.0000
2064.8613	1.0000	1.0000
2065.0137	1.0000	0.9600
2065.1660	1.0000	1.0000
2065.3184	1.0000	0.9960
2065.4709	1.0000	1.0000
2065.6233	1.0000	1.0000
2065.7756	1.0000	1.0000
2065.9280	1.0000	0.9550
2066.0803	1.0000	0.9340
2066.2329	1.0000	0.9350
2066.3853	1.0000	1.0000
2066.5376	1.0000	0.9220
2066.6899	1.0000	0.9080
2066.8425	1.0000	0.9480
2066.9949	1.0000	0.9800
2067.1472	1.0000	0.9850
2067.2996	1.0000	1.0000
2067.4519	1.0000	1.0000
2067.6045	1.0000	1.0000
2067.7568	1.0000	1.0000
2067.9092	1.0000	0.9740
2068.0615	1.0000	0.9980
2068.2141	1.0000	1.0000
2068.3665	1.0000	0.9880
2068.5188	1.0000	0.9780
2068.6711	1.0000	1.0000
2068.8237	1.0000	1.0000
2068.9761	1.0000	0.9560
2069.1284	1.0000	1.0000
2069.2808	1.0000	1.0000
2069.4331	1.0000	1.0000
2069.5857	1.0000	1.0000
2069.7380	1.0000	0.9930
2069.8904	1.0000	0.9920
2070.0427	1.0000	1.0000
2070.1953	1.0000	1.0000
2070.3477	1.0000	1.0000
2070.5000	1.0000	1.0000
2070.6523	1.0000	1.0000
2070.8049	1.0000	1.0000
2070.9573	1.0000	1.0000
2071.1096	1.0000	1.0000
2071.2620	1.0000	1.0000
2071.4143	1.0000	0.9980
2071.5669	1.0000	1.0000
2071.7192	1.0000	1.0000
2071.8716	1.0000	0.9720
2072.0239	1.0000	1.0000
2072.1765	1.0000	0.9410
2072.3289	1.0000	0.9580
2072.4812	1.0000	0.9620
2072.6335	1.0000	1.0000
2072.7861	1.0000	0.9510
2072.9385	1.0000	0.9540
2073.0908	1.0000	1.0000
2073.2432	1.0000	1.0000
2073.3955	1.0000	0.9930
2073.5481	1.0000	1.0000
2073.7004	1.0000	0.9800
2073.8528	1.0000	0.9230
2074.0051	1.0000	0.9290
2074.1577	1.0000	0.9720
2074.3101	1.0000	0.9490
2074.4624	1.0000	0.9280
2074.6147	1.0000	0.9060
2074.7673	1.0000	0.9280
2074.9197	1.0000	0.9150
2075.0720	1.0000	0.8820
2075.2244	1.0000	0.8810
2075.3767	1.0000	0.8990
2075.5293	1.0000	0.9210
2075.6816	1.0000	0.9760
2075.8340	1.0000	1.0000
2075.9863	1.0000	1.0000
2076.1389	1.0000	0.9730
2076.2913	1.0000	0.9980
2076.4436	1.0000	1.0000
2076.5959	1.0000	0.9240
2076.7485	1.0000	0.8940
2076.9009	1.0000	0.9170
2077.0532	1.0000	0.9410
2077.2056	1.0000	0.9830
2077.3579	1.0000	1.0000
2077.5105	1.0000	1.0000
2077.6628	1.0000	0.9640
2077.8152	1.0000	0.9980
2077.9675	1.0000	1.0000
2078.1201	1.0000	0.8920
2078.2725	1.0000	0.8470
2078.4248	1.0000	0.8820
2078.5771	1.0000	0.9370
2078.7297	1.0000	0.9420
2078.8821	1.0000	0.9150
2079.0344	1.0000	0.8870
2079.1868	1.0000	0.9300
2079.3391	1.0000	1.0000
2079.4917	1.0000	0.9780
2079.6440	1.0000	0.9710
2079.7964	1.0000	0.9430
2079.9487	1.0000	0.8860
2080.1013	1.0000	0.8460
2080.2537	1.0000	0.8590
2080.4060	1.0000	0.8960
2080.5583	1.0000	0.9270
2080.7109	1.0000	1.0000
2080.8633	1.0000	1.0000
2081.0156	1.0000	1.0000
2081.1680	1.0000	1.0000
2081.3203	1.0000	1.0000
2081.4729	1.0000	1.0000
2081.6252	1.0000	0.9480
2081.7776	1.0000	1.0000
2081.9299	1.0000	1.0000
2082.0825	1.0000	0.9440
2082.2349	1.0000	0.9540
