DEPTH,VP,RHO,GR,IP,VSH,RHOm,RHOf,PHIE
2030.32166,2368.3,2.1177,96.482,5015.34891,0.329521851331,2.70272349621,1.09,0.362754990292
2030.474,2368.3,2.1253,96.3843,5033.34799,0.328667764653,2.70258684234,1.09,0.357988064386
2030.62634,2368.3,2.1466,99.0719,5083.79278,0.35216257894,2.70634601263,1.09,0.346303333727
2030.77881,2281.44,2.1738,97.4628,4959.394272,0.33809593745,2.70409534999,1.09,0.328540287285
2030.93115,2254.44,2.1808,97.3633,4916.482752,0.337226115296,2.70395617845,1.09,0.324145218708
2031.08362,2272.93,2.1436,94.6081,4872.252748,0.31314034646,2.70010245543,1.09,0.345631704092
2031.23596,2307.34,2.0934,105.4329,4830.185556,0.407770003287,2.71524320053,1.09,0.382615475841
2031.38843,2328.5,2.0859,99.4367,4857.01815,0.35535163544,2.70685626167,1.09,0.38405161695
2031.54077,2398.11,2.0991,99.3823,5033.872701,0.354876074383,2.7067801719,1.09,0.375858253622
2031.69324,2415.21,2.1165,99.869,5111.791965,0.359130772297,2.70746092357,1.09,0.365363338895
2031.84558,2422.89,2.1195,99.8064,5135.315355,0.358583527404,2.70737336438,1.09,0.363474122506
2031.99805,2381.25,2.1229,101.2216,5055.155625,0.370955108435,2.70935281735,1.09,0.362152590261
2032.15039,2375.68,2.1385,95.7395,5080.39168,0.323030967417,2.70168495479,1.09,0.349438612748
2032.30286,2353.67,2.1365,93.7791,5028.615955,0.305893285497,2.69894292568,1.09,0.349572950477
2032.4552,2342.81,2.132,95.1389,4994.87092,0.31778056354,2.70084489017,1.09,0.353134490874
2032.60754,2312.59,2.104,96.0546,4865.68936,0.325785549937,2.70212568799,1.09,0.371016783893
2032.76001,2283.15,2.0954,94.437,4784.11251,0.311644602032,2.69986313633,1.09,0.375474860369
2032.91235,2256.11,2.0912,101.4839,4717.977232,0.373248116988,2.70971969872,1.09,0.381868356116
2033.06482,2274.63,2.1235,104.4147,4830.176805,0.398868968942,2.71381903503,1.09,0.363537452324
2033.21716,2269.55,2.1364,108.2587,4848.66662,0.432472952465,2.71919567239,1.09,0.357719875071
2033.36963,2314.35,2.1231,112.5473,4913.596485,0.469963598598,2.72519417578,1.09,0.368209589231
2033.52197,2362.79,2.1407,114.2802,5058.024553,0.485112491171,2.72761799859,1.09,0.358397379055
2033.67444,2409.49,2.1937,116.9483,5285.698213,0.508436837799,2.73134989405,1.09,0.327565679931
2033.82678,2390.59,2.2904,100.166,5475.407336,0.361727125863,2.70787634014,1.09,0.258039709081
2033.97925,2403.79,2.31,101.9841,5552.7549,0.377620830973,2.71041933296,1.09,0.247108464341
